"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","HewlettPacka_55:49:73","ASUSTekCOMPU_9a:63:18","ARP","42","Who has 192.168.50.1? Tell 192.168.50.168"
"2","0.001182","ASUSTekCOMPU_9a:63:18","HewlettPacka_55:49:73","ARP","60","192.168.50.1 is at c8:7f:54:9a:63:18"
"3","0.322351","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"4","0.652083","192.168.50.1","224.0.0.1","IGMPv3","60","Membership Query, general"
"5","0.692306","Cisco_79:23:4c","Broadcast","ARP","60","Gratuitous ARP for 192.168.50.174 (Request)"
"6","0.692306","Cisco_79:23:4c","Broadcast","ARP","60","Who has 192.168.50.174? Tell 0.0.0.0"
"7","1.332188","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"8","1.500694","192.168.50.168","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"9","2.342246","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"10","2.644642","192.168.50.1","192.168.50.255","UDP","118","55244  >  7788 Len=76"
"11","2.903804","192.168.50.63","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"12","3.352244","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"13","4.355412","HostEngineer_21:7a:58","Broadcast","ARP","60","ARP Announcement for 192.168.50.83"
"14","4.362259","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"15","4.502864","192.168.50.168","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"16","5.372557","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"17","6.002861","192.168.50.168","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"18","6.382299","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"19","7.392333","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"20","8.402286","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"21","9.412272","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"22","9.838197","192.168.50.168","8.8.8.8","DNS","64","Standard query 0x8923 A wpad"
"23","9.851213","8.8.8.8","192.168.50.168","DNS","139","Standard query response 0x8923 No such name A wpad SOA a.root-servers.net"
"24","9.851756","192.168.50.168","8.8.8.8","DNS","73","Standard query 0xf871 A wpad.fred.lan"
"25","9.871447","8.8.8.8","192.168.50.168","DNS","148","Standard query response 0xf871 No such name A wpad.fred.lan SOA a.root-servers.net"
"26","10.133697","165.254.191.197","192.168.50.168","TCP","60","443  >  49673 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"27","10.133742","192.168.50.168","165.254.191.197","TCP","54","[TCP ACKed unseen segment] 49673  >  443 [ACK] Seq=1 Ack=2 Win=1024 Len=0"
"28","10.422294","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"29","11.432454","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"30","12.442500","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"31","13.452399","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"32","14.462361","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"33","15.472425","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"34","16.482415","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"35","17.492535","192.168.50.174","255.255.255.255","UDP","61","54177  >  9989 Len=19"
"36","17.944618","192.168.50.106","224.0.0.251","MDNS","227","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"37","17.945040","fe80::2:693f:3bc6:86c6","ff02::fb","MDNS","247","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
"38","17.949885","192.168.50.11","224.0.0.251","MDNS","227","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Mac mini de Fr\303\251d\303\251ric._companion-link._tcp.local"
